질문코드,질문내용,보기번호,보기내용,파일명
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",2,중고로 판매,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",3,기부,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",4,그냥 보관,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",5,바로 버린다,qpoll_join_250605
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,,,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,1,1개,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,2,2개,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,3,3개,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,4,4개 이상,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,5,이용하지 않는다,qpoll_join_250107
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,,,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,1,일주일에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,2,2주에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,3,한달에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,4,3개월에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,5,6개월에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,6,1년에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,7,전혀 방문하지 않음,qpoll_join_250116
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,,,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,1,ChatGPT,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,2,딥시크,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,3,Gemini (구글),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,4,Claude (Anthropic),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,5,Copilot (마이크로소프트),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,6,HyperCLOVER X (네이버),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,7,기타,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,8,사용해 본 적 없음,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,,,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,1,보기1,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,2,보기2,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,3,보기3,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,4,보기4,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,5,보기5,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,6,보기6,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,7,보기7,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,8,보기8,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,,,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,1,ChatGPT,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,2,딥시크,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,3,Gemini (구글),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,4,Claude (Anthropic),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,5,Copilot (마이크로소프트),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,6,HyperCLOVER X (네이버),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,7,기타,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,8,사용해 본 적 없음,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,,,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,1,보기1,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,2,보기2,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,3,보기3,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,4,보기4,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,5,보기5,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,6,보기6,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,7,보기7,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,8,보기8,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",,,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",1,정보 검색 및 질문 해결,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",2,"업무 보조(문서작성, 데이터 분석 등)",qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",3,학습 및 과제 도움,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",4,번역 및 언어 학습,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",5,"창작 활동(글쓰기, 이미지 생성 등)",qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",6,"개인 비서(일정 관리, 메모 작성 등)",qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",7,코딩 및 프로그래밍 도움,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",8,기타,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,,,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,1,보기1,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,2,보기2,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,3,총참여자수,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,4,보기1_CNT,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,5,보기2_CNT,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",,,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",1,ChatGPT,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",2,딥시크,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",3,5000,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",4,4184,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",5,815,qpoll_join_250317
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,,,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,1,민소매,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,2,얇은 긴팔 셔츠,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,3,반바지,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,4,선글라스,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,5,샌들/슬리퍼,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,6,린넨셔츠,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,7,쿨토시/쿨스카프,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,8,기타,qpoll_join_250710
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,,,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,1,스트레스를 받을 때,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,2,기분이 좋을 때,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,3,간식으로 습관처럼,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,4,선물로 받았을 때,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,5,"특별한 날(생일, 발렌타인데이 등)",qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,6,기타,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,7,거의 먹지 않는다,qpoll_join_250707
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,,,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,1,가족과 함께 떠난 여행,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,2,겨울방학 숙제를 끝낸 순간,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,3,방학 동안 다녔던 학원이나 특별 활동,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,4,친구들과 보낸 즐거운 시간,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,5,"눈썰매, 스키 등 겨울 스포츠",qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,6,눈사람 만들기,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,7,기타,qpoll_join_250204
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,,,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,1,하루 세 끼를 규칙적으로 소식하기,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,2,간헐적 단식(예: 16시간 공복),qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,3,저탄고지/단백질 위주 식단,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,4,꾸준한 유산소 운동,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,5,헬스장 또는 홈트레이닝,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,6,식욕 억제제 또는 다이어트 보조제 섭취,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,7,기타,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,8,없다,qpoll_join_250619
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,,,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,1,맛있는 음식 먹기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,2,여행 가기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,3,옷/패션관련 제품 구매하기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,4,취미관련 제품 구매하기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,5,기타,qpoll_join_250224
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,,,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,1,"제철과일(수박, 참외 등)",qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,2,아이스크림,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,3,냉면,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,4,빙수,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,5,기타,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,6,없다,qpoll_join_250623
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,,,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,1,배달 주문해서 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,2,집에서 직접 만들어 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,3,직접 사와서 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,4,외출해서 식당이나 포장마차 등에서 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,5,야식을 거의 먹지 않는다,qpoll_join_250620
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,,,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,1,건강한 몸과 마음,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,2,안정적인 경제력,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,3,가족 또는 친구와의 친밀한 관계,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,4,여가과 취미를 즐길 수 있는 시간과 여유,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,5,사회와의 적절한 연결감,qpoll_join_250616
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",,,qpoll_join_250704
