설문제목,보기1,보기2,보기3,보기4,보기5,보기6,보기7,보기8,보기9,보기10,총참여자수,보기1_CNT,보기2_CNT,보기3_CNT,보기4_CNT,보기5_CNT,보기6_CNT,보기7_CNT,보기8_CNT,보기9_CNT,보기10_CNT,source_file
여러분은 아침에 기상하기 위해 어떤 방식으로 알람을 설정해두시나요?,여러 개의 알람을 짧은 간격으로 설정해둔다,한 개만 설정해놓고 바로 일어난다,,,,,,,,,4980.0,1850.0,3130.0,,,,,,,,,qpoll_join_250610.xlsx
어려분은 여행갈 때 어떤 스타일에 더 가까우신가요?,"계획형(여행 전부터 동선, 맛집, 숙소까지 꼼꼼히 준비)",즉흥형(가서 보고 느끼는 대로 움직이는 걸 선호),반반형(큰 틀만 정하고 세부 일정은 현지에서 정함),잘 모르겠다,,,,,,,4714.0,1782.0,790.0,1740.0,402.0,,,,,,,qpoll_join_250702.xlsx
갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,그냥 비를 맞고 간다,편의점에서 우산을 산다,근처 비를 피할 수 있는 곳으로 뛰어간다,가족/친구 등 주변지인에게 연락한다,기타,,,,,,4568.0,976.0,1215.0,1898.0,370.0,109.0,,,,,,qpoll_join_250714.xlsx
여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,비용 부담,짐 싸고 풀기,이사업체 선택,새로운 환경 적응,기타,스트레스 받지 않는다,,,,,5043.0,1229.0,2318.0,647.0,599.0,83.0,167.0,,,,,qpoll_join_250221.xlsx
여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,"업무 보조 (문서 작성, 이메일 등)",학습/공부 보조,번역이나 외국어 학습,이미지 생성 또는 디자인 참고,"콘텐츠 제작 (블로그, 영상 기획 등)",검색/정보 탐색,기타,AI 서베스를 사용해본 적 없다,,,6299.0,712.0,524.0,870.0,541.0,386.0,1857.0,197.0,1212.0,,,qpoll_join_250626.xlsx
여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,워터파크,계곡,해변,기타,물놀이를 좋아하지 않는다,,,,,,4536.0,887.0,1647.0,981.0,167.0,854.0,,,,,,qpoll_join_250723.xlsx
여러분은 본인을 미니멀리스트와 맥시멀리스트 중 어디에 더 가깝다고 생각하시나요?,미니멀리스트(최소한의 물건만 소유),맥시멀리스트(다양한 물건을 많이 소유),,,,,,,,,4928.0,3064.0,1863.0,,,,,,,,,qpoll_join_250627.xlsx
빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,"신선식품(과일, 채소, 육류 등)","생활용품(생필품, 위생용품 등)",전자기기 및 가전제품,패션·뷰티 제품,기타,빠른 배송 서비스를 이용해 본 적 없다,,,,,5108.0,2283.0,1074.0,374.0,410.0,168.0,799.0,,,,,qpoll_join_250328.xlsx
평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,장바구니나 에코백을 챙긴다,비닐 대신 종이봉투나 박스를 활용한다,아예 쇼핑할 때 봉투를 받지 않는다,편의점이나 마트에서 유료 봉투를 아깝더라도 산다,기타,따로 노력하고 있지 않다,,,,,5249.0,2634.0,832.0,729.0,550.0,136.0,368.0,,,,,qpoll_join_250703.xlsx
여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,거의 매일,주 2~3회 정도,주 1회 정도,월 1~2회 정도,거의 하지 않거나 한 번도 해본 적 없다,,,,,,4996.0,441.0,721.0,872.0,1193.0,1769.0,,,,,,qpoll_join_250611.xlsx
다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,업무 / 학업,출퇴근,"인간관계 (가족, 친구, 직장 등)",경제적 문제,건강 문제,기타,,,,,5154.0,516.0,353.0,1424.0,1887.0,777.0,196.0,,,,,qpoll_join_250304.xlsx
스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,수면,음식 섭취,운동,명상 / 휴식,마사지 / 스파,기타,,,,,5106.0,1459.0,897.0,991.0,1017.0,309.0,432.0,,,,,qpoll_join_250304.xlsx
